일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2021/01/15,"4,420","4,545","4,405","4,515",▲,"100","+2.27","58,448,052","262,267","0","1,309,200","-457,634","0","0","0","4.52"
2021/01/14,"4,400","4,440","4,380","4,415",▲,"45","+1.03","36,237,676","159,885","10.15","-2,268,716","2,071,698","143,318","0","0","4.54"
2021/01/13,"4,370","4,410","4,335","4,370", ,"0","0","37,052,864","162,112","9.77","-364,055","-127,739","510,104","0","0","4.40"
2021/01/12,"4,380","4,465","4,330","4,370",▲,"15","+0.34","65,662,441","288,603","9.24","631,038","-836,132","148,229","0","0","3.82"
2021/01/11,"4,340","4,480","4,250","4,355", ,"0","0","76,036,439","332,995","9.85","1,398,522","434,306","-1,598,665","0","0","3.59"
2021/01/08,"4,360","4,420","4,355","4,355",▼,"-30","-0.68","30,968,290","135,586","11.07","-3,160,304","3,284,930","-106,459","0","0","5.16"
2021/01/07,"4,380","4,435","4,350","4,385",▼,"-35","-0.79","40,531,688","178,107","10.25","-6,470,598","4,216,943","2,509,330","0","0","5.28"
2021/01/06,"4,375","4,435","4,350","4,420",▲,"40","+0.91","62,987,517","277,107","9.34","4,503,051","-3,117,931","-1,650,513","0","0","2.83"
2021/01/05,"4,415","4,485","4,355","4,380", ,"0","0","56,917,969","251,196","9.87","3,060,067","-1,513,085","-1,573,699","0","0","4.28"
2021/01/04,"4,365","4,450","4,355","4,380",▲,"30","+0.69","30,814,605","135,804","10.66","-3,418,553","4,099,911","-667,448","0","0","5.72"
2020/12/30,"4,365","4,395","4,325","4,350",▼,"-10","-0.23","38,974,098","170,039","9.91","-5,479,027","3,062,830","2,421,492","0","0","6.19"
2020/12/29,"4,435","4,470","4,350","4,360",▼,"-150","-3.33","49,089,272","216,627","10.52","3,584,760","-1,950,045","-1,592,373","0","0","3.93"
2020/12/28,"4,515","4,550","4,485","4,510",▼,"-35","-0.77","46,377,730","209,566","11.94","-2,256,645","3,956,042","-1,665,449","0","0","5.23"
2020/12/24,"4,595","4,640","4,520","4,545",▼,"-60","-1.30","60,294,787","275,127","12.91","-2,721,238","672,738","2,046,820","0","0","6.72"
2020/12/23,"4,555","4,645","4,520","4,605",▲,"20","+0.44","91,760,451","419,818","13.45","-5,283,043","3,229,698","2,058,445","0","0","5.19"
2020/12/22,"4,455","4,585","4,430","4,585",▲,"145","+3.27","78,609,263","353,954","12.20","-337,256","2,211,570","-1,783,627","0","0","3.31"
2020/12/21,"4,505","4,550","4,430","4,440",▼,"-75","-1.66","50,852,464","227,882","12.09","5,589,391","-5,757,233","138,941","0","0","4.97"
2020/12/18,"4,510","4,545","4,505","4,515",▼,"-10","-0.22","29,360,811","132,893","12.30","-169,283","116,872","50,247","0","0","4.86"
2020/12/17,"4,560","4,565","4,485","4,525",▼,"-25","-0.55","50,703,145","229,678","12.21","816,517","-1,648,214","856,547","0","0","4.79"
2020/12/16,"4,565","4,615","4,530","4,550",▼,"-40","-0.87","37,907,612","173,239","11.94","363,375","-639,332","283,953","0","0","4.05"
2020/12/15,"4,580","4,670","4,565","4,590",▲,"5","+0.11","72,963,847","337,208","11.78","280,162","939,169","-1,217,824","0","0","3.82"
2020/12/14,"4,590","4,640","4,525","4,585",▼,"-25","-0.54","67,312,817","308,622","11.81","417,660","-900,616","488,434","0","0","5.15"
2020/12/11,"4,635","4,640","4,590","4,610",▼,"-45","-0.97","42,231,213","194,903","10.50","1,769,225","-1,455,654","-274,466","0","0","4.62"
2020/12/10,"4,775","4,790","4,640","4,655",▼,"-55","-1.17","59,378,264","278,698","10.05","4,957,940","-4,094,934","-901,818","0","0","4.79"
2020/12/09,"4,730","4,795","4,675","4,710",▼,"-40","-0.84","70,793,482","334,640","12.34","-48,430","1,515,151","-1,452,370","0","0","6.02"
2020/12/08,"4,590","4,760","4,535","4,750",▲,"185","+4.05","88,850,709","412,364","11.45","-7,222,647","3,854,069","3,298,354","0","0","7.60"
2020/12/07,"4,700","4,740","4,565","4,565",▼,"-170","-3.59","67,691,547","315,706","12.09","6,386,028","-5,857,514","-549,313","0","0","4.41"
2020/12/04,"4,835","4,840","4,730","4,735",▼,"-100","-2.07","44,232,330","211,320","11.44","65,217","-1,130,868","1,088,139","0","0","4.99"
2020/12/03,"4,925","4,930","4,835","4,835",▼,"-85","-1.73","41,922,353","204,269","10.72","3,874,490","-3,398,060","-430,763","0","0","3.78"
2020/12/02,"4,965","5,015","4,910","4,920",▼,"-60","-1.20","45,078,743","223,952","11.36","1,059,402","89,294","-467,046","0","0","4.26"
2020/12/01,"5,000","5,055","4,965","4,980",▼,"-45","-0.90","41,225,872","206,249","11.53","-1,344,204","1,721,606","-374,136","0","0","4.83"
2020/11/30,"4,995","5,025","4,960","5,025",▲,"10","+0.20","58,000,829","289,614","11.17","1,098,418","-1,102,183","438,537","0","0","5.29"
2020/11/27,"5,105","5,115","4,995","5,015",▼,"-85","-1.67","48,154,044","242,348","11.51","2,399,035","-2,742,454","347,022","0","0","4.83"
2020/11/26,"5,185","5,240","5,085","5,100",▼,"-85","-1.64","67,906,007","350,205","10.17","937,044","-1,440,717","259,924","0","0","4.35"
2020/11/25,"5,140","5,250","5,075","5,185",▲,"20","+0.39","91,948,820","473,226","10.28","4,341,428","-3,587,184","-1,234,374","0","0","4.08"
2020/11/24,"5,125","5,205","5,115","5,165",▲,"40","+0.78","46,743,519","241,428","10.26","-1,716,871","2,352,899","-694,339","0","0","5.39"
2020/11/23,"5,150","5,170","5,085","5,125",▼,"-25","-0.49","35,796,981","183,342","10.64","-1,424,820","725,256","794,419","0","0","6.16"
2020/11/20,"5,225","5,230","5,125","5,150",▼,"-65","-1.25","39,401,088","203,482","10.29","171,887","55,168","-102,020","0","0","5.32"
2020/11/19,"5,315","5,350","5,210","5,215",▼,"-80","-1.51","60,475,734","320,248","9.23","664,022","-572,597","193,522","0","0","5.32"
2020/11/18,"5,380","5,410","5,275","5,295",▼,"-90","-1.67","48,059,764","255,681","9.14","3,146,189","-1,468,740","-1,490,618","0","0","5.01"
