일자,시가,고가,저가,종가,등락률,개인,기관,고가-저가
2016/08/10,200.0,200.0,197.3,197.8,-1.1,2093650.0,40127.0,2.6999999999999886
2016/08/11,197.8,200.5,197.3,200.5,1.37,559750.0,10805.0,3.1999999999999886
2016/08/12,200.4,200.5,198.9,199.7,-0.4,2259000.0,44820.0,1.5999999999999943
2016/08/16,199.6,200.3,198.6,200.3,0.3,145700.0,11725.0,1.700000000000017
2016/08/17,200.7,203.9,200.5,201.3,0.5,1414950.0,17061.0,3.4000000000000057
2016/08/18,201.6,201.9,199.7,199.7,-0.79,1466700.0,31980.0,2.200000000000017
2016/08/19,199.8,199.9,199.0,199.4,-0.15,1322850.0,29519.0,0.9000000000000057
2016/08/22,199.6,201.9,199.5,201.6,1.1,807850.0,20843.0,2.4000000000000057
2016/08/23,202.0,202.6,200.1,201.8,0.1,687900.0,16227.0,2.5
2016/08/24,201.5,201.9,201.0,201.5,-0.15,56250.0,1011.0,0.9000000000000057
2016/08/25,201.6,202.6,201.2,202.6,0.55,642050.0,15852.0,1.4000000000000057
2016/08/26,203.0,203.9,202.6,203.4,0.39,489300.0,4319.0,1.3000000000000114
2016/08/29,203.5,208.5,203.4,208.5,2.51,3020500.0,66381.0,5.099999999999994
2016/08/30,207.2,208.0,205.6,206.6,-0.91,514200.0,25465.0,2.4000000000000057
2016/08/31,207.3,210.4,206.7,208.4,0.87,4096800.0,47965.0,3.700000000000017
2016/09/01,208.6,208.7,204.0,204.0,-2.11,718100.0,12648.0,4.699999999999989
2016/09/02,204.3,204.8,202.5,202.7,-0.64,2680200.0,46654.0,2.3000000000000114
2016/09/05,202.0,202.5,201.3,202.1,-0.3,1021800.0,9467.0,1.1999999999999886
2016/09/06,202.5,203.2,201.7,203.1,0.49,2122750.0,37568.0,1.5
2016/09/07,202.5,206.0,202.0,204.8,0.84,3461450.0,60410.0,4.0
2016/09/08,204.3,206.6,202.7,202.8,-0.98,1397900.0,17058.0,3.9000000000000057
2016/09/09,203.4,207.2,203.4,204.4,0.79,682600.0,12580.0,3.799999999999983
2016/09/12,210.4,210.6,205.9,208.7,2.1,793250.0,2601.0,4.699999999999989
2016/09/13,206.6,208.7,206.6,208.1,-0.29,394800.0,26757.0,2.0999999999999943
2016/09/19,208.2,208.2,203.8,204.0,-1.97,30400.0,7372.0,4.399999999999977
2016/09/20,205.0,205.0,201.9,201.9,-1.03,1389700.0,42291.0,3.0999999999999943
2016/09/21,201.8,202.9,200.5,200.8,-0.54,1256100.0,26516.0,2.4000000000000057
2016/09/22,199.2,200.0,197.9,198.2,-1.29,234900.0,3332.0,2.0999999999999943
2016/09/23,197.9,199.6,197.9,198.4,0.1,342350.0,1084.0,1.6999999999999886
2016/09/26,198.3,199.5,197.6,199.4,0.5,1709650.0,37946.0,1.9000000000000057
2016/09/27,200.4,201.0,198.7,198.7,-0.35,2547900.0,65468.0,2.3000000000000114
2016/09/28,198.8,200.7,198.7,200.6,0.96,1196500.0,20671.0,2.0
2016/09/29,200.0,200.0,198.6,199.2,-0.7,209550.0,3079.0,1.4000000000000057
2016/09/30,199.2,203.4,199.2,203.0,1.91,5193100.0,93924.0,4.200000000000017
2016/10/04,202.5,203.5,200.7,201.0,-0.99,1047950.0,23339.0,2.8000000000000114
2016/10/05,201.8,202.6,201.0,202.3,0.65,202100.0,3819.0,1.5999999999999943
2016/10/06,201.6,202.9,200.7,202.7,0.2,354400.0,63184.0,2.200000000000017
2016/10/07,203.0,206.8,202.7,206.3,1.78,1062100.0,44820.0,4.100000000000023
2016/10/10,206.8,207.3,205.2,205.9,-0.19,507900.0,11740.0,2.1000000000000227
2016/10/11,205.9,207.4,204.6,206.9,0.49,1509200.0,54671.0,2.8000000000000114
2016/10/12,207.7,208.1,206.6,207.1,0.1,498950.0,58770.0,1.5
2016/10/13,207.0,209.6,206.9,208.9,0.87,1686150.0,3918.0,2.6999999999999886
2016/10/14,208.8,209.4,207.8,208.5,-0.19,766500.0,12157.0,1.5999999999999943
2016/10/17,209.3,210.3,208.2,209.1,0.29,221000.0,20786.0,2.1000000000000227
2016/10/18,209.7,210.1,207.7,207.7,-0.67,1411300.0,57870.0,2.4000000000000057
2016/10/19,207.8,207.9,206.2,206.5,-0.58,1266950.0,28395.0,1.700000000000017
2016/10/20,206.8,209.2,206.4,208.4,0.92,1623850.0,30418.0,2.799999999999983
2016/10/21,209.1,210.6,207.8,210.5,1.01,616500.0,13300.0,2.799999999999983
2016/10/24,210.6,212.2,209.8,211.6,0.52,244350.0,28784.0,2.3999999999999773
2016/10/25,211.5,215.3,211.5,213.5,0.9,102200.0,56801.0,3.8000000000000114
2016/10/26,215.0,216.0,212.4,212.6,-0.42,3716350.0,44670.0,3.5999999999999943
2016/10/27,212.5,212.5,207.5,207.8,-2.26,2192200.0,23201.0,5.0
2016/10/28,208.1,211.0,207.7,210.8,1.44,1751500.0,68079.0,3.3000000000000114
2016/10/31,212.2,215.1,211.9,214.4,1.71,3636750.0,63769.0,3.1999999999999886
2016/11/01,215.7,215.9,211.9,213.5,-0.42,2821050.0,22432.0,4.0
2016/11/02,214.8,218.8,214.5,218.8,2.48,642950.0,12681.0,4.300000000000011
2016/11/03,221.0,221.0,215.7,217.8,-0.46,669300.0,12614.0,5.300000000000011
2016/11/04,216.6,219.4,216.6,217.7,-0.05,1973850.0,46772.0,2.8000000000000114
2016/11/07,216.0,216.4,214.2,214.2,-1.61,3991800.0,83106.0,2.200000000000017
2016/11/08,212.0,214.4,211.7,214.0,-0.09,10900.0,448.0,2.700000000000017
2016/11/09,212.3,226.9,212.3,221.1,3.32,3261050.0,118727.0,14.599999999999994
2016/11/10,215.7,215.8,211.4,211.4,-4.39,3102100.0,102213.0,4.400000000000006
2016/11/11,212.4,214.4,212.3,214.1,1.28,6854650.0,131646.0,2.0999999999999943
2016/11/14,214.4,215.6,214.0,215.5,0.65,1147950.0,22920.0,1.5999999999999943
2016/11/15,216.2,218.2,215.5,218.0,1.16,505850.0,5672.0,2.6999999999999886
2016/11/16,216.7,217.0,213.8,214.2,-1.74,1010950.0,1778.0,3.1999999999999886
