,N,Kalman RMSE,LSTM_only,LSTM_multi,GRU_multi,Better
0,2,0.6586797173507508,[39.245186],[38.485485],[38.115913],KalmanFilter Good
1,3,0.6587208989014935,[39.097553],[49.646282],[41.72194],KalmanFilter Good
2,4,0.6587620880159754,[38.544067],[43.355305],[39.702126],KalmanFilter Good
3,5,0.6588032849687698,[37.845295],[37.11558],[36.244568],KalmanFilter Good
4,6,0.6588409049974152,[38.771446],[34.937485],[36.73157],KalmanFilter Good
5,7,0.6588797597100273,[38.284527],[39.02493],[38.53128],KalmanFilter Good
6,8,0.6589195399497529,[38.25471],[76.18172],[38.75619],KalmanFilter Good
7,9,0.6589599426193182,[37.134438],[41.144485],[43.224052],KalmanFilter Good
8,10,0.6589835659629645,[37.636482],[40.08226],[38.527737],KalmanFilter Good
9,11,0.6590122920500665,[37.43834],[39.156303],[38.443687],KalmanFilter Good
10,12,0.6590446656067788,[37.36988],[39.006413],[41.172226],KalmanFilter Good
