id,digit
2049,6
2050,8
2051,8
2052,0
2053,3
2054,7
2055,5
2056,3
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,8
2065,1
2066,6
2067,1
2068,4
2069,5
2070,9
2071,7
2072,9
2073,3
2074,7
2075,0
2076,1
2077,9
2078,2
2079,8
2080,8
2081,0
2082,6
2083,0
2084,4
2085,1
2086,5
2087,2
2088,4
2089,8
2090,1
2091,8
2092,8
2093,3
2094,0
2095,7
2096,6
2097,2
2098,8
2099,9
2100,4
2101,7
2102,2
2103,6
2104,6
2105,1
2106,8
2107,0
2108,9
2109,2
2110,2
2111,1
2112,9
2113,4
2114,2
2115,0
2116,0
2117,3
2118,2
2119,3
2120,2
2121,1
2122,3
2123,2
2124,7
2125,6
2126,9
2127,1
2128,7
2129,7
2130,0
2131,2
2132,4
2133,8
2134,1
2135,0
2136,0
2137,7
2138,5
2139,5
2140,8
2141,0
2142,4
2143,0
2144,6
2145,9
2146,3
2147,0
2148,9
2149,6
2150,3
2151,6
2152,0
2153,5
2154,6
2155,2
2156,4
2157,5
2158,7
2159,9
2160,2
2161,9
2162,8
2163,4
2164,6
2165,3
2166,2
2167,9
2168,9
2169,2
2170,0
2171,7
2172,9
2173,6
2174,1
2175,5
2176,8
2177,1
2178,2
2179,1
2180,5
2181,4
2182,6
2183,5
2184,4
2185,1
2186,6
2187,0
2188,9
2189,2
2190,1
2191,8
2192,2
2193,6
2194,5
2195,3
2196,8
2197,9
2198,3
2199,3
2200,6
2201,6
2202,4
2203,0
2204,8
2205,9
2206,3
2207,8
2208,5
2209,0
2210,0
2211,2
2212,1
2213,1
2214,1
2215,2
2216,9
2217,4
2218,1
2219,0
2220,4
2221,9
2222,1
2223,3
2224,1
2225,9
2226,8
2227,0
2228,2
2229,8
2230,3
2231,5
2232,0
2233,1
2234,0
2235,4
2236,9
2237,2
2238,6
2239,3
2240,1
2241,0
2242,3
2243,5
2244,2
2245,9
2246,0
2247,3
2248,9
2249,1
2250,5
2251,1
2252,1
2253,6
2254,6
2255,6
2256,0
2257,2
2258,9
2259,9
2260,2
2261,2
2262,3
2263,9
2264,0
2265,7
2266,0
2267,0
2268,9
2269,2
2270,2
2271,6
2272,9
2273,6
2274,4
2275,8
2276,7
2277,6
2278,7
2279,1
2280,9
2281,5
2282,9
2283,8
2284,5
2285,6
2286,7
2287,3
2288,6
2289,3
2290,8
2291,1
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,1
2299,0
2300,5
2301,2
2302,8
2303,3
2304,2
2305,2
2306,9
2307,7
2308,2
2309,2
2310,4
2311,8
2312,5
2313,2
2314,8
2315,8
2316,4
2317,2
2318,3
2319,6
2320,5
2321,3
2322,5
2323,4
2324,7
2325,7
2326,9
2327,9
2328,9
2329,9
2330,1
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,2
2338,2
2339,6
2340,9
2341,8
2342,6
2343,1
2344,0
2345,7
2346,4
2347,1
2348,3
2349,5
2350,3
2351,1
2352,2
2353,0
2354,0
2355,1
2356,2
2357,8
2358,7
2359,5
2360,9
2361,2
2362,9
2363,1
2364,2
2365,2
2366,8
2367,2
2368,3
2369,0
2370,4
2371,9
2372,1
2373,1
2374,9
2375,9
2376,0
2377,3
2378,9
2379,2
2380,3
2381,3
2382,4
2383,6
2384,5
2385,8
2386,1
2387,3
2388,2
2389,4
2390,8
2391,9
2392,8
2393,4
2394,8
2395,3
2396,1
2397,1
2398,6
2399,3
2400,5
2401,7
2402,4
2403,2
2404,6
2405,8
2406,3
2407,7
2408,5
2409,8
2410,8
2411,1
2412,3
2413,7
2414,0
2415,8
2416,8
2417,0
2418,9
2419,2
2420,9
2421,1
2422,2
2423,3
2424,8
2425,1
2426,1
2427,9
2428,8
2429,8
2430,9
2431,3
2432,2
2433,9
2434,9
2435,9
2436,0
2437,7
2438,7
2439,9
2440,1
2441,7
2442,4
2443,3
2444,3
2445,9
2446,4
2447,4
2448,0
2449,3
2450,3
2451,3
2452,0
2453,2
2454,4
2455,0
2456,5
2457,0
2458,5
2459,1
2460,8
2461,6
2462,2
2463,0
2464,7
2465,8
2466,1
2467,4
2468,4
2469,9
2470,3
2471,1
2472,1
2473,5
2474,9
2475,9
2476,6
2477,4
2478,3
2479,4
2480,2
2481,9
2482,2
2483,9
2484,6
2485,1
2486,2
2487,2
2488,2
2489,6
2490,1
2491,9
2492,2
2493,2
2494,2
2495,2
2496,8
2497,5
2498,9
2499,7
2500,7
2501,2
2502,2
2503,8
2504,5
2505,8
2506,1
2507,8
2508,8
2509,7
2510,9
2511,5
2512,1
2513,5
2514,9
2515,2
2516,4
2517,1
2518,5
2519,0
2520,5
2521,5
2522,8
2523,9
2524,7
2525,8
2526,5
2527,3
2528,9
2529,4
2530,0
2531,3
2532,7
2533,2
2534,2
2535,5
2536,4
2537,4
2538,4
2539,7
2540,8
2541,4
2542,9
2543,0
2544,5
2545,9
2546,3
2547,9
2548,1
2549,1
2550,5
2551,3
2552,9
2553,2
2554,5
2555,0
2556,0
2557,9
2558,3
2559,0
2560,1
2561,7
2562,5
2563,2
2564,8
2565,1
2566,2
2567,7
2568,6
2569,6
2570,7
2571,6
2572,0
2573,3
2574,8
2575,0
2576,7
2577,3
2578,9
2579,3
2580,2
2581,0
2582,8
2583,6
2584,1
2585,8
2586,3
2587,2
2588,7
2589,0
2590,8
2591,6
2592,7
2593,1
2594,2
2595,4
2596,4
2597,3
2598,5
2599,3
2600,0
2601,0
2602,2
2603,9
2604,9
2605,0
2606,4
2607,3
2608,6
2609,2
2610,8
2611,2
2612,1
2613,5
2614,3
2615,9
2616,6
2617,1
2618,7
2619,2
2620,2
2621,4
2622,4
2623,0
2624,0
2625,2
2626,3
2627,0
2628,8
2629,0
2630,3
2631,4
2632,9
2633,0
2634,6
2635,8
2636,5
2637,5
2638,4
2639,1
2640,0
2641,4
2642,3
2643,5
2644,9
2645,5
2646,6
2647,0
2648,3
2649,3
2650,8
2651,5
2652,6
2653,4
2654,3
2655,7
2656,2
2657,9
2658,8
2659,8
2660,5
2661,0
2662,6
2663,1
2664,2
2665,3
2666,4
2667,5
2668,1
2669,1
2670,3
2671,9
2672,8
2673,8
2674,3
2675,1
2676,5
2677,4
2678,0
2679,0
2680,1
2681,5
2682,5
2683,7
2684,2
2685,3
2686,4
2687,5
2688,5
2689,2
2690,5
2691,4
2692,2
2693,2
2694,4
2695,0
2696,6
2697,2
2698,7
2699,9
2700,1
2701,9
2702,2
2703,0
2704,6
2705,3
2706,1
2707,1
2708,9
2709,1
2710,0
2711,5
2712,2
2713,0
2714,6
2715,2
2716,2
2717,6
2718,5
2719,0
2720,0
2721,3
2722,9
2723,7
2724,7
2725,4
2726,7
2727,8
2728,1
2729,1
2730,6
2731,0
2732,1
2733,0
2734,9
2735,5
2736,3
2737,5
2738,6
2739,3
2740,4
2741,5
2742,2
2743,9
2744,2
2745,2
2746,8
2747,0
2748,4
2749,6
2750,5
2751,7
2752,5
2753,9
2754,9
2755,0
2756,6
2757,3
2758,0
2759,3
2760,4
2761,3
2762,6
2763,2
2764,3
2765,3
2766,9
2767,3
2768,8
2769,2
2770,1
2771,3
2772,4
2773,4
2774,3
2775,0
2776,3
2777,7
2778,8
2779,9
2780,5
2781,0
2782,8
2783,4
2784,0
2785,8
2786,1
2787,9
2788,4
2789,0
2790,4
2791,6
2792,0
2793,8
2794,1
2795,1
2796,5
2797,7
2798,2
2799,8
2800,8
2801,6
2802,4
2803,1
2804,1
2805,6
2806,8
2807,0
2808,7
2809,9
2810,3
2811,4
2812,9
2813,6
2814,9
2815,3
2816,1
2817,5
2818,8
2819,2
2820,1
2821,1
2822,3
2823,8
2824,4
2825,8
2826,9
2827,6
2828,9
2829,5
2830,7
2831,1
2832,9
2833,3
2834,9
2835,1
2836,3
2837,2
2838,1
2839,3
2840,4
2841,7
2842,4
2843,4
2844,0
2845,6
2846,4
2847,4
2848,6
2849,9
2850,4
2851,1
2852,2
2853,0
2854,0
2855,1
2856,0
2857,0
2858,0
2859,1
2860,6
2861,7
2862,1
2863,5
2864,9
2865,9
2866,9
2867,8
2868,7
2869,2
2870,9
2871,9
2872,7
2873,6
2874,0
2875,9
2876,5
2877,1
2878,7
2879,6
2880,2
2881,0
2882,8
2883,1
2884,2
2885,4
2886,7
2887,9
2888,7
2889,1
2890,4
2891,8
2892,3
2893,2
2894,3
2895,8
2896,1
2897,0
2898,1
2899,7
2900,1
2901,0
2902,6
2903,5
2904,1
2905,2
2906,8
2907,3
2908,9
2909,2
2910,8
2911,5
2912,9
2913,1
2914,4
2915,2
2916,0
2917,8
2918,3
2919,1
2920,9
2921,4
2922,5
2923,6
2924,5
2925,5
2926,8
2927,3
2928,1
2929,6
2930,1
2931,1
2932,5
2933,3
2934,7
2935,1
2936,9
2937,2
2938,0
2939,5
2940,7
2941,1
2942,9
2943,3
2944,1
2945,8
2946,0
2947,2
2948,7
2949,7
2950,9
2951,5
2952,7
2953,8
2954,3
2955,9
2956,1
2957,0
2958,2
2959,7
2960,4
2961,2
2962,6
2963,5
2964,0
2965,5
2966,7
2967,3
2968,3
2969,0
2970,2
2971,0
2972,4
2973,2
2974,1
2975,0
2976,3
2977,9
2978,2
2979,7
2980,3
2981,2
2982,5
2983,8
2984,8
2985,0
2986,8
2987,1
2988,6
2989,1
2990,9
2991,1
2992,1
2993,7
2994,2
2995,7
2996,2
2997,5
2998,8
2999,3
3000,4
3001,5
3002,3
3003,1
3004,1
3005,3
3006,1
3007,3
3008,9
3009,8
3010,0
3011,5
3012,4
3013,9
3014,2
3015,2
3016,1
3017,3
3018,8
3019,6
3020,8
3021,8
3022,3
3023,5
3024,5
3025,5
3026,1
3027,6
3028,7
3029,9
3030,1
3031,3
3032,4
3033,5
3034,3
3035,6
3036,4
3037,8
3038,4
3039,9
3040,5
3041,5
3042,8
3043,6
3044,9
3045,9
3046,3
3047,4
3048,8
3049,3
3050,7
3051,8
3052,7
3053,1
3054,4
3055,6
3056,1
3057,8
3058,4
3059,6
3060,7
3061,4
3062,3
3063,2
3064,5
3065,7
3066,9
3067,8
3068,9
3069,2
3070,6
3071,0
3072,8
3073,6
3074,3
3075,2
3076,1
3077,5
3078,1
3079,9
3080,3
3081,5
3082,5
3083,9
3084,8
3085,8
3086,3
3087,9
3088,7
3089,9
3090,6
3091,9
3092,3
3093,0
3094,6
3095,2
3096,7
3097,1
3098,3
3099,7
3100,7
3101,9
3102,2
3103,1
3104,1
3105,4
3106,0
3107,2
3108,0
3109,9
3110,7
3111,1
3112,5
3113,2
3114,4
3115,2
3116,8
3117,0
3118,0
3119,8
3120,6
3121,0
3122,5
3123,8
3124,8
3125,8
3126,7
3127,8
3128,3
3129,3
3130,6
3131,4
3132,0
3133,1
3134,6
3135,5
3136,1
3137,1
3138,1
3139,2
3140,7
3141,9
3142,9
3143,6
3144,6
3145,2
3146,8
3147,2
3148,2
3149,8
3150,7
3151,4
3152,3
3153,2
3154,8
3155,2
3156,3
3157,1
3158,2
3159,1
3160,7
3161,5
3162,8
3163,8
3164,1
3165,9
3166,9
3167,5
3168,5
3169,7
3170,6
3171,6
3172,1
3173,7
3174,6
3175,7
3176,9
3177,4
3178,3
3179,4
3180,5
3181,3
3182,4
3183,3
3184,9
3185,2
3186,1
3187,7
3188,7
3189,1
3190,7
3191,8
3192,9
3193,4
3194,2
3195,0
3196,6
3197,6
3198,9
3199,0
3200,7
3201,2
3202,9
3203,2
3204,6
3205,9
3206,8
3207,3
3208,9
3209,4
3210,9
3211,2
3212,1
3213,4
3214,5
3215,8
3216,8
3217,0
3218,9
3219,3
3220,3
3221,9
3222,7
3223,2
3224,8
3225,7
3226,2
3227,8
3228,3
3229,8
3230,8
3231,7
3232,9
3233,9
3234,0
3235,0
3236,0
3237,4
3238,3
3239,0
3240,2
3241,0
3242,3
3243,4
3244,2
3245,9
3246,5
3247,0
3248,6
3249,7
3250,9
3251,7
3252,8
3253,3
3254,9
3255,4
3256,4
3257,0
3258,4
3259,3
3260,1
3261,8
3262,5
3263,4
3264,4
3265,4
3266,4
3267,9
3268,4
3269,2
3270,3
3271,7
3272,9
3273,8
3274,9
3275,2
3276,2
3277,4
3278,0
3279,9
3280,5
3281,0
3282,5
3283,8
3284,7
3285,8
3286,7
3287,2
3288,0
3289,4
3290,3
3291,8
3292,7
3293,7
3294,2
3295,1
3296,6
3297,7
3298,8
3299,3
3300,1
3301,0
3302,6
3303,9
3304,0
3305,1
3306,2
3307,3
3308,9
3309,3
3310,3
3311,0
3312,1
3313,0
3314,1
3315,6
3316,5
3317,8
3318,7
3319,0
3320,7
3321,7
3322,8
3323,9
3324,0
3325,3
3326,8
3327,4
3328,6
3329,9
3330,2
3331,4
3332,5
3333,8
3334,9
3335,4
3336,7
3337,4
3338,6
3339,2
3340,1
3341,3
3342,6
3343,1
3344,9
3345,1
3346,4
3347,0
3348,6
3349,8
3350,7
3351,3
3352,3
3353,7
3354,4
3355,2
3356,3
3357,4
3358,5
3359,7
3360,3
3361,0
3362,5
3363,4
3364,3
3365,2
3366,1
3367,6
3368,7
